key,x,y
Agriculture,1990,460.8
Agriculture,1991,473.6
Agriculture,1992,469.1
Agriculture,1993,473.1
Agriculture,1994,462.7
Agriculture,1995,442.7
Agriculture,1996,443.5
Agriculture,1997,440.4
Agriculture,1998,445.4
Agriculture,1999,425.6
Agriculture,2000,390.1
Agriculture,2001,340.6
Agriculture,2002,345.8
Agriculture,2003,352.9
Agriculture,2004,348.1
Agriculture,2005,368.1
Agriculture,2006,365
Agriculture,2007,351.2
Agriculture,2008,340.4
Agriculture,2009,334.6
Agriculture,2010,319.4
Agriculture,2011,325.2
Agriculture,2012,327.7
Forrestry hunting,1990,135.1
Forrestry hunting,1991,136.2
Forrestry hunting,1992,132.4
Forrestry hunting,1993,131.8
Forrestry hunting,1994,142.5
Forrestry hunting,1995,144.4
Forrestry hunting,1996,134.3
Forrestry hunting,1997,134.2
Forrestry hunting,1998,137.9
Forrestry hunting,1999,132.2
Forrestry hunting,2000,135.6
Forrestry hunting,2001,123.9
Forrestry hunting,2002,122.5
Forrestry hunting,2003,123.1
Forrestry hunting,2004,118.8
Forrestry hunting,2005,115.1
Forrestry hunting,2006,106.2
Forrestry hunting,2007,99.7
Forrestry hunting,2008,91.4
Forrestry hunting,2009,85
Forrestry hunting,2010,86.8
Forrestry hunting,2011,78.7
Forrestry hunting,2012,83.7
Mining,1990,206.2
Mining,1991,203.7
Mining,1992,190.6
Mining,1993,177.1
Mining,1994,177.7
Mining,1995,185.3
Mining,1996,192.6
Mining,1997,195.2
Mining,1998,195.7
Mining,1999,167.3
Mining,2000,168.3
Mining,2001,187.5
Mining,2002,182.3
Mining,2003,188.9
Mining,2004,197.7
Mining,2005,224.2
Mining,2006,255.4
Mining,2007,268.3
Mining,2008,281.8
Mining,2009,277.9
Mining,2010,270.7
Mining,2011,283.3
Mining,2012,313.4
Manufacturing,1990,2224.2
Manufacturing,1991,2100.3
Manufacturing,1992,2004.6
Manufacturing,1993,1949.6
Manufacturing,1994,1965.2
Manufacturing,1995,2034.8
Manufacturing,1996,2071.5
Manufacturing,1997,2140.8
Manufacturing,1998,2235.3
Manufacturing,1999,2314.2
Manufacturing,2000,2353.2
Manufacturing,2001,2375.1
Manufacturing,2002,2443.3
Manufacturing,2003,2422.8
Manufacturing,2004,2428.7
Manufacturing,2005,2341.2
Manufacturing,2006,2234.3
Manufacturing,2007,2159.2
Manufacturing,2008,2092.2
Manufacturing,2009,1973.9
Manufacturing,2010,1870.9
Manufacturing,2011,1862.6
Manufacturing,2012,1879.8
scientific,1990,605.6
scientific,1991,638.8
scientific,1992,633.1
scientific,1993,659.1
scientific,1994,678.3
scientific,1995,709.4
scientific,1996,744.4
scientific,1997,811.4
scientific,1998,882.5
scientific,1999,936.3
scientific,2000,968.4
scientific,2001,1028.8
scientific,2002,1028.5
scientific,2003,1044.5
scientific,2004,1046.7
scientific,2005,1077.6
scientific,2006,1114.1
scientific,2007,1161.5
scientific,2008,1223
scientific,2009,1244.3
scientific,2010,1313.5
scientific,2011,1349.7
scientific,2012,1342.8
Information,1990,551
Information,1991,546
Information,1992,537.6
Information,1993,548.3
Information,1994,577.9
Information,1995,609.8
Information,1996,622.1
Information,1997,646
Information,1998,650
Information,1999,668.4
Information,2000,707.9
Information,2001,756.2
Information,2002,770
Information,2003,773.1
Information,2004,779.1
Information,2005,772.5
Information,2006,783.9
Information,2007,815.6
Information,2008,803.5
Information,2009,821.1
Information,2010,818.9
Information,2011,842.6
Information,2012,841.5
Health care ,1990,1325.4
Health care ,1991,1357.8
Health care ,1992,1382.2
Health care ,1993,1405.9
Health care ,1994,1419.5
Health care ,1995,1438.8
Health care ,1996,1444.1
Health care ,1997,1430.8
Health care ,1998,1467.7
Health care ,1999,1470.9
Health care ,2000,1548.7
Health care ,2001,1579.3
Health care ,2002,1648.9
Health care ,2003,1712.4
Health care ,2004,1762.1
Health care ,2005,1757.5
Health care ,2006,1813.2
Health care ,2007,1867
Health care ,2008,1926.3
Health care ,2009,1988.5
Health care ,2010,2077.9
Health care ,2011,2134.5
Health care ,2012,2171.9
Public,1990,878
Public,1991,897.7
Public,1992,912
Public,1993,913.7
Public,1994,879.2
Public,1995,856.7
Public,1996,848
Public,1997,832
Public,1998,813
Public,1999,804.8
Public,2000,796.6
Public,2001,812.4
Public,2002,817.9
Public,2003,847.2
Public,2004,851.8
Public,2005,854.9
Public,2006,858
Public,2007,885.6
Public,2008,945.4
Public,2009,952.8
Public,2010,980
Public,2011,996.2
Public,2012,981.9
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
