key,x,y
Canada,1976,37.57113037
Canada,1977,38.06883507
Canada,1978,38.6952468
Canada,1979,39.30066657
Canada,1980,39.92794249
Canada,1981,40.59154285
Canada,1982,41.10130225
Canada,1983,41.57061209
Canada,1984,42.00770323
Canada,1985,42.53537129
Canada,1986,42.86553186
Canada,1987,43.21898566
Canada,1988,43.72419098
Canada,1989,43.99658533
Canada,1990,44.37190233
Canada,1991,44.7242315
Canada,1992,44.81693069
Canada,1993,44.97332871
Canada,1994,45.00847417
Canada,1995,45.20191705
Canada,1996,45.29548439
Canada,1997,45.3867883
Canada,1998,45.63167655    
Canada,1999,45.75485924
Canada,2000,45.93009677
Canada,2001,46.04623438
Canada,2002,46.23666946
Canada,2003,46.51404295
Canada,2004,46.61163673
Canada,2005,46.58918091
Canada,2006,46.86042462
Canada,2007,47.035372
Canada,2008,47.02014404
Canada,2009,47.2355284
Canada,2010,47.29691068
Canada,2011,47.27691798
Canada,2012,47.28731041
Newfoundland and Labrador,1976,31.91489362
Newfoundland and Labrador,1977,33.36836574
Newfoundland and Labrador,1978,34.86842105
Newfoundland and Labrador,1979,35.46987952
Newfoundland and Labrador,1980,35.70750237
Newfoundland and Labrador,1981,36.72710367
Newfoundland and Labrador,1982,37.90546803
Newfoundland and Labrador,1983,37.97009515
Newfoundland and Labrador,1984,39.22356091
Newfoundland and Labrador,1985,39.93875766
Newfoundland and Labrador,1986,40.84201389
Newfoundland and Labrador,1987,41.36442142
Newfoundland and Labrador,1988,42.02350966
Newfoundland and Labrador,1989,42.52355592
Newfoundland and Labrador,1990,43.33868379
Newfoundland and Labrador,1991,43.77252703
Newfoundland and Labrador,1992,43.71921182
Newfoundland and Labrador,1993,43.91752577
Newfoundland and Labrador,1994,44.29280397
Newfoundland and Labrador,1995,44.49599325
Newfoundland and Labrador,1996,44.65435809
Newfoundland and Labrador,1997,44.90500864
Newfoundland and Labrador,1998,45.28061224
Newfoundland and Labrador,1999,45.58580858
Newfoundland and Labrador,2000,46.32815778
Newfoundland and Labrador,2001,46.54889071
Newfoundland and Labrador,2002,46.70152856
Newfoundland and Labrador,2003,47.05882353
Newfoundland and Labrador,2004,46.7429925
Newfoundland and Labrador,2005,47.29083665
Newfoundland and Labrador,2006,47.81572677
Newfoundland and Labrador,2007,47.62285258
Newfoundland and Labrador,2008,47.34126984
Newfoundland and Labrador,2009,47.35376045
Newfoundland and Labrador,2010,48.10768631
Newfoundland and Labrador,2011,47.82945736
Newfoundland and Labrador,2012,47.93011774
Prince Edward Island,1976,37.63213531
Prince Edward Island,1977,38.17427386
Prince Edward Island,1978,39.03420523
Prince Edward Island,1979,40.19047619
Prince Edward Island,1980,40.4494382
Prince Edward Island,1981,41.05461394
Prince Edward Island,1982,41.27579737
Prince Edward Island,1983,42.08633094
Prince Edward Island,1984,42.75618375
Prince Edward Island,1985,42.83276451
Prince Edward Island,1986,43.59400998
Prince Edward Island,1987,43.84236453
Prince Edward Island,1988,44.53376206
Prince Edward Island,1989,44.74097331
Prince Edward Island,1990,45.49689441
Prince Edward Island,1991,45.86583463
Prince Edward Island,1992,46.0949464
Prince Edward Island,1993,46.42313546
Prince Edward Island,1994,46.40718563
Prince Edward Island,1995,45.90163934
Prince Edward Island,1996,46.52173913
