key,y,x,,tmp-all
Canada,1976,3941.7,,10491.3
Canada,1977,4105.8,,10785.2
Canada,1978,4316.3,,11154.6
Canada,1979,4534,,11536.7
Canada,1980,4743.2,,11879.4
Canada,1981,4966.7,,12235.8
Canada,1982,5056.2,,12301.8
Canada,1983,5207.8,,12527.6
Canada,1984,5355.1,,12747.9
Canada,1985,5540.7,,13026.1
Canada,1986,5693.7,,13282.7
Canada,1987,5845.8,,13526
Canada,1988,6024.8,,13779.1
Canada,1989,6184.6,,14057
Canada,1990,6320.6,,14244.6
Canada,1991,6411.8,,14336.3
Canada,1992,6425,,14336.1
Canada,1993,6491.9,,14435
Canada,1994,6559.4,,14573.7
Canada,1995,6639.8,,14689.2
Canada,1996,6725.7,,14848.5
Canada,1997,6844.6,,15080.6
Canada,1998,6988.4,    ,15314.8
Canada,1999,7130.3,,15583.7
Canada,2000,7276.2,,15841.9
Canada,2001,7415.7,,16104.9
Canada,2002,7661,,16569.1
Canada,2003,7883.2,,16948
Canada,2004,7995.9,,17154.3
Canada,2005,8056.9,,17293.5
Canada,2006,8208.4,,17516.7
Canada,2007,8411.9,,17884.2
Canada,2008,8559.5,,18203.9
Canada,2009,8657.8,,18329
Canada,2010,8761.8,,18525.1
Canada,2011,8840.5,,18699.4
Canada,2012,8926,,18876.1
Newfoundland and Labrador,1976,58.5,,183.3
Newfoundland and Labrador,1977,63.5,,190.3
Newfoundland and Labrador,1978,68.9,,197.6
Newfoundland and Labrador,1979,73.6,,207.5
Newfoundland and Labrador,1980,75.2,,210.6
Newfoundland and Labrador,1981,79,,215.1
Newfoundland and Labrador,1982,81.8,,215.8
Newfoundland and Labrador,1983,83.8,,220.7
Newfoundland and Labrador,1984,87.9,,224.1
Newfoundland and Labrador,1985,91.3,,228.6
Newfoundland and Labrador,1986,94.1,,230.4
Newfoundland and Labrador,1987,95.8,,231.6
Newfoundland and Labrador,1988,100.1,,238.2
Newfoundland and Labrador,1989,103.8,,244.1
Newfoundland and Labrador,1990,108,,249.2
Newfoundland and Labrador,1991,109.3,,249.7
Newfoundland and Labrador,1992,106.5,,243.6
Newfoundland and Labrador,1993,106.5,,242.5
Newfoundland and Labrador,1994,107.1,,241.8
Newfoundland and Labrador,1995,105.5,,237.1
Newfoundland and Labrador,1996,104,,232.9
Newfoundland and Labrador,1997,104,,231.6
Newfoundland and Labrador,1998,106.5,,235.2
Newfoundland and Labrador,1999,110.5,,242.4
Newfoundland and Labrador,2000,110.4,,238.3
Newfoundland and Labrador,2001,113.3,,243.4
Newfoundland and Labrador,2002,116.1,,248.6
Newfoundland and Labrador,2003,119.2,,253.3
Newfoundland and Labrador,2004,118.4,,253.3
Newfoundland and Labrador,2005,118.7,,251
Newfoundland and Labrador,2006,120.4,,251.8
Newfoundland and Labrador,2007,119.2,,250.3
Newfoundland and Labrador,2008,119.3,,252
Newfoundland and Labrador,2009,119,,251.3
Newfoundland and Labrador,2010,123.3,,256.3
Newfoundland and Labrador,2011,123.4,,258
Newfoundland and Labrador,2012,126.2,,263.3
Prince Edward Island,1976,17.8,,47.3
Prince Edward Island,1977,18.4,,48.2
Prince Edward Island,1978,19.4,,49.7
Prince Edward Island,1979,21.1,,52.5
Prince Edward Island,1980,21.6,,53.4
Prince Edward Island,1981,21.8,,53.1
Prince Edward Island,1982,22,,53.3
Prince Edward Island,1983,23.4,,55.6
Prince Edward Island,1984,24.2,,56.6
Prince Edward Island,1985,25.1,,58.6
Prince Edward Island,1986,26.2,,60.1
Prince Edward Island,1987,26.7,,60.9
Prince Edward Island,1988,27.7,,62.2
Prince Edward Island,1989,28.5,,63.7
Prince Edward Island,1990,29.3,,64.4
Prince Edward Island,1991,29.4,,64.1
Prince Edward Island,1992,30.1,,65.3
Prince Edward Island,1993,30.5,,65.7
Prince Edward Island,1994,31,,66.8
Prince Edward Island,1995,30.8,,67.1
Prince Edward Island,1996,32.1,,69
Prince Edward Island,1997,32.3,,69.2
Prince Edward Island,1998,33,,69.2
Prince Edward Island,1999,33.4,,70.4
Prince Edward Island,2000,34.2,,71.4
Prince Edward Island,2001,34.4,,72.3
Prince Edward Island,2002,35.5,,73.5
Prince Edward Island,2003,35.9,,74.2
Prince Edward Island,2004,36.4,,74.9
Prince Edward Island,2005,36.7,,76.1
Prince Edward Island,2006,37.2,,76.7
