key,y,x,,tmp-all,,,
Canada,1976,3941.7,,10491.3,,,37.57113037
Canada,1977,4105.8,,10785.2,,,38.06883507
Canada,1978,4316.3,,11154.6,,,38.6952468
Canada,1979,4534,,11536.7,,,39.30066657
Canada,1980,4743.2,,11879.4,,,39.92794249
Canada,1981,4966.7,,12235.8,,,40.59154285
Canada,1982,5056.2,,12301.8,,,41.10130225
Canada,1983,5207.8,,12527.6,,,41.57061209
Canada,1984,5355.1,,12747.9,,,42.00770323
Canada,1985,5540.7,,13026.1,,,42.53537129
Canada,1986,5693.7,,13282.7,,,42.86553186
Canada,1987,5845.8,,13526,,,43.21898566
Canada,1988,6024.8,,13779.1,,,43.72419098
Canada,1989,6184.6,,14057,,,43.99658533
Canada,1990,6320.6,,14244.6,,,44.37190233
Canada,1991,6411.8,,14336.3,,,44.7242315
Canada,1992,6425,,14336.1,,,44.81693069
Canada,1993,6491.9,,14435,,,44.97332871
Canada,1994,6559.4,,14573.7,,,45.00847417
Canada,1995,6639.8,,14689.2,,,45.20191705
Canada,1996,6725.7,,14848.5,,,45.29548439
Canada,1997,6844.6,,15080.6,,,45.38678832
Canada,1998,6988.4,    ,15314.8,,,45.63167655
Canada,1999,7130.3,,15583.7,,,45.75485924
Canada,2000,7276.2,,15841.9,,,45.93009677
Canada,2001,7415.7,,16104.9,,,46.04623438
Canada,2002,7661,,16569.1,,,46.23666946
Canada,2003,7883.2,,16948,,,46.51404295
Canada,2004,7995.9,,17154.3,,,46.61163673
Canada,2005,8056.9,,17293.5,,,46.58918091
Canada,2006,8208.4,,17516.7,,,46.86042462
Canada,2007,8411.9,,17884.2,,,47.035372
Canada,2008,8559.5,,18203.9,,,47.02014404
Canada,2009,8657.8,,18329,,,47.2355284
Canada,2010,8761.8,,18525.1,,,47.29691068
Canada,2011,8840.5,,18699.4,,,47.27691798
Canada,2012,8926,,18876.1,,,47.28731041
Newfoundland and Labrador,1976,58.5,,183.3,,,31.91489362
Newfoundland and Labrador,1977,63.5,,190.3,,,33.36836574
Newfoundland and Labrador,1978,68.9,,197.6,,,34.86842105
Newfoundland and Labrador,1979,73.6,,207.5,,,35.46987952
Newfoundland and Labrador,1980,75.2,,210.6,,,35.70750237
Newfoundland and Labrador,1981,79,,215.1,,,36.72710367
Newfoundland and Labrador,1982,81.8,,215.8,,,37.90546803
Newfoundland and Labrador,1983,83.8,,220.7,,,37.97009515
Newfoundland and Labrador,1984,87.9,,224.1,,,39.22356091
Newfoundland and Labrador,1985,91.3,,228.6,,,39.93875766
Newfoundland and Labrador,1986,94.1,,230.4,,,40.84201389
Newfoundland and Labrador,1987,95.8,,231.6,,,41.36442142
Newfoundland and Labrador,1988,100.1,,238.2,,,42.02350966
Newfoundland and Labrador,1989,103.8,,244.1,,,42.52355592
Newfoundland and Labrador,1990,108,,249.2,,,43.33868379
Newfoundland and Labrador,1991,109.3,,249.7,,,43.77252703
Newfoundland and Labrador,1992,106.5,,243.6,,,43.71921182
Newfoundland and Labrador,1993,106.5,,242.5,,,43.91752577
Newfoundland and Labrador,1994,107.1,,241.8,,,44.29280397
Newfoundland and Labrador,1995,105.5,,237.1,,,44.49599325
Newfoundland and Labrador,1996,104,,232.9,,,44.65435809
Newfoundland and Labrador,1997,104,,231.6,,,44.90500864
Newfoundland and Labrador,1998,106.5,,235.2,,,45.28061224
Newfoundland and Labrador,1999,110.5,,242.4,,,45.58580858
Newfoundland and Labrador,2000,110.4,,238.3,,,46.32815778
Newfoundland and Labrador,2001,113.3,,243.4,,,46.54889071
Newfoundland and Labrador,2002,116.1,,248.6,,,46.70152856
Newfoundland and Labrador,2003,119.2,,253.3,,,47.05882353
Newfoundland and Labrador,2004,118.4,,253.3,,,46.7429925
Newfoundland and Labrador,2005,118.7,,251,,,47.29083665
Newfoundland and Labrador,2006,120.4,,251.8,,,47.81572677
Newfoundland and Labrador,2007,119.2,,250.3,,,47.62285258
Newfoundland and Labrador,2008,119.3,,252,,,47.34126984
Newfoundland and Labrador,2009,119,,251.3,,,47.35376045
Newfoundland and Labrador,2010,123.3,,256.3,,,48.10768631
Newfoundland and Labrador,2011,123.4,,258,,,47.82945736
Newfoundland and Labrador,2012,126.2,,263.3,,,47.93011774
Prince Edward Island,1976,17.8,,47.3,,,37.63213531
Prince Edward Island,1977,18.4,,48.2,,,38.17427386
Prince Edward Island,1978,19.4,,49.7,,,39.03420523
Prince Edward Island,1979,21.1,,52.5,,,40.19047619
Prince Edward Island,1980,21.6,,53.4,,,40.4494382
Prince Edward Island,1981,21.8,,53.1,,,41.05461394
Prince Edward Island,1982,22,,53.3,,,41.27579737
Prince Edward Island,1983,23.4,,55.6,,,42.08633094
Prince Edward Island,1984,24.2,,56.6,,,42.75618375
Prince Edward Island,1985,25.1,,58.6,,,42.83276451
Prince Edward Island,1986,26.2,,60.1,,,43.59400998
Prince Edward Island,1987,26.7,,60.9,,,43.84236453
Prince Edward Island,1988,27.7,,62.2,,,44.53376206
Prince Edward Island,1989,28.5,,63.7,,,44.74097331
Prince Edward Island,1990,29.3,,64.4,,,45.49689441
Prince Edward Island,1991,29.4,,64.1,,,45.86583463
Prince Edward Island,1992,30.1,,65.3,,,46.0949464
Prince Edward Island,1993,30.5,,65.7,,,46.42313546
Prince Edward Island,1994,31,,66.8,,,46.40718563
Prince Edward Island,1995,30.8,,67.1,,,45.90163934
Prince Edward Island,1996,32.1,,69,,,46.52173913
Prince Edward Island,1997,32.3,,69.2,,,46.67630058
Prince Edward Island,1998,33,,69.2,,,47.68786127
Prince Edward Island,1999,33.4,,70.4,,,47.44318182
Prince Edward Island,2000,34.2,,71.4,,,47.89915966
Prince Edward Island,2001,34.4,,72.3,,,47.57952974
Prince Edward Island,2002,35.5,,73.5,,,48.29931973
Prince Edward Island,2003,35.9,,74.2,,,48.38274933
Prince Edward Island,2004,36.4,,74.9,,,48.59813084
Prince Edward Island,2005,36.7,,76.1,,,48.2260184
Prince Edward Island,2006,37.2,,76.7,,,48.50065189
Prince Edward Island,2007,37.4,,76.6,,,48.82506527
Prince Edward Island,2008,38.3,,77.9,,,49.16559692
Prince Edward Island,2009,37.8,,78,,,48.46153846
Prince Edward Island,2010,38.3,,79.5,,,48.17610063
Prince Edward Island,2011,39.5,,81.2,,,48.6453202
Prince Edward Island,2012,40.1,,82,,,48.90243902
Nova Scotia,1976,120.5,,328,,,36.73780488
Nova Scotia,1977,124.7,,332.7,,,37.48121431
Nova Scotia,1978,131,,342,,,38.30409357
Nova Scotia,1979,135.2,,352.5,,,38.35460993
Nova Scotia,1980,141.7,,359.2,,,39.44877506
Nova Scotia,1981,148.8,,364.8,,,40.78947368
Nova Scotia,1982,150.6,,368.2,,,40.90168387
Nova Scotia,1983,155.5,,375.3,,,41.43351985
Nova Scotia,1984,163.8,,390.8,,,41.91402252
Nova Scotia,1985,167.4,,396.9,,,42.17687075
Nova Scotia,1986,172.9,,404.1,,,42.786439
Nova Scotia,1987,176.2,,408.1,,,43.17569223
Nova Scotia,1988,180.2,,416,,,43.31730769
Nova Scotia,1989,186.4,,423.3,,,44.03496338
Nova Scotia,1990,192.6,,431.4,,,44.64534075
Nova Scotia,1991,194.5,,433,,,44.91916859
Nova Scotia,1992,193.2,,424.6,,,45.50164861
Nova Scotia,1993,196.3,,427.9,,,45.87520449
Nova Scotia,1994,197.8,,430.7,,,45.92523798
Nova Scotia,1995,194.2,,427.9,,,45.38443562
