key,x,y
Newfoundland and Labrador,12/31/1992,20
Newfoundland and Labrador,12/31/1993,20.2
Newfoundland and Labrador,12/31/1994,20
Newfoundland and Labrador,12/31/1995,18
Newfoundland and Labrador,12/31/1996,18.9
Newfoundland and Labrador,12/31/1997,18.2
Newfoundland and Labrador,12/31/1998,17.7
Newfoundland and Labrador,12/31/1999,16.7
Newfoundland and Labrador,12/31/2000,16.6
Newfoundland and Labrador,12/31/2001,15.9
Newfoundland and Labrador,12/31/2002,16.6
Newfoundland and Labrador,12/31/2003,16.5
Newfoundland and Labrador,12/31/2004,15.7
Newfoundland and Labrador,12/31/2005,15.2
Newfoundland and Labrador,12/31/2006,14.8
Newfoundland and Labrador,12/31/2007,13.6
Newfoundland and Labrador,12/31/2008,13.2
Newfoundland and Labrador,12/31/2009,15.6
Newfoundland and Labrador,12/31/2010,14.5
Newfoundland and Labrador,12/31/2011,12.7
Prince Edward Island,12/31/1992,17.9
Prince Edward Island,12/31/1993,17
Prince Edward Island,12/31/1994,16.6
Prince Edward Island,12/31/1995,15
Prince Edward Island,12/31/1996,14.8
Prince Edward Island,12/31/1997,15.5
Prince Edward Island,12/31/1998,14.1
Prince Edward Island,12/31/1999,14.4
Prince Edward Island,12/31/2000,12.2
Prince Edward Island,12/31/2001,12
Prince Edward Island,12/31/2002,12.1
Prince Edward Island,12/31/2003,11.2
Prince Edward Island,12/31/2004,11.4
Prince Edward Island,12/31/2005,10.9
Prince Edward Island,12/31/2006,11.1
Prince Edward Island,12/31/2007,10.3
Prince Edward Island,12/31/2008,10.8
Prince Edward Island,12/31/2009,12.1
Prince Edward Island,12/31/2010,11.2
Prince Edward Island,12/31/2011,11.4
Nova Scotia,12/31/1992,13.2
Nova Scotia,12/31/1993,14.4
Nova Scotia,12/31/1994,13.5
Nova Scotia,12/31/1995,12.2
Nova Scotia,12/31/1996,12.4
Nova Scotia,12/31/1997,12.1
Nova Scotia,12/31/1998,10.5
Nova Scotia,12/31/1999,9.6
Nova Scotia,12/31/2000,9.1
Nova Scotia,12/31/2001,9.7
Nova Scotia,12/31/2002,9.6
Nova Scotia,12/31/2003,9.1
Nova Scotia,12/31/2004,8.8
Nova Scotia,12/31/2005,8.4
Nova Scotia,12/31/2006,7.9
Nova Scotia,12/31/2007,7.9
Nova Scotia,12/31/2008,7.7
Nova Scotia,12/31/2009,9.2
Nova Scotia,12/31/2010,9.3
Nova Scotia,12/31/2011,8.8
New Brunswick,12/31/1992,13
New Brunswick,12/31/1993,12.6
New Brunswick,12/31/1994,12.6
New Brunswick,12/31/1995,11.5
New Brunswick,12/31/1996,11.6
New Brunswick,12/31/1997,12.7
New Brunswick,12/31/1998,12.2
New Brunswick,12/31/1999,10.2
New Brunswick,12/31/2000,10
New Brunswick,12/31/2001,11.1
New Brunswick,12/31/2002,10.2
New Brunswick,12/31/2003,10.2
New Brunswick,12/31/2004,9.8
New Brunswick,12/31/2005,9.6
New Brunswick,12/31/2006,8.7
New Brunswick,12/31/2007,7.5
New Brunswick,12/31/2008,8.5
New Brunswick,12/31/2009,8.8
New Brunswick,12/31/2010,9.3
New Brunswick,12/31/2011,9.5
Quebec,12/31/1992,12.7
Quebec,12/31/1993,13.3
Quebec,12/31/1994,12.4
Quebec,12/31/1995,11.5
Quebec,12/31/1996,11.8
Quebec,12/31/1997,11.4
Quebec,12/31/1998,10.3
Quebec,12/31/1999,9.3
Quebec,12/31/2000,8.5
Quebec,12/31/2001,8.8
Quebec,12/31/2002,8.7
