Geography,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Canada,11.2,11.4,10.4,9.5,9.6,9.1,8.3,7.6,6.8,7.2,7.7,7.6,7.2,6.8,6.3,6,6.1,8.3,8,7.4
Newfoundland and Labrador,20,20.2,20,18,18.9,18.2,17.7,16.7,16.6,15.9,16.6,16.5,15.7,15.2,14.8,13.6,13.2,15.6,14.5,12.7
Prince Edward Island,17.9,17,16.6,15,14.8,15.5,14.1,14.4,12.2,12,12.1,11.2,11.4,10.9,11.1,10.3,10.8,12.1,11.2,11.4
Nova Scotia,13.2,14.4,13.5,12.2,12.4,12.1,10.5,9.6,9.1,9.7,9.6,9.1,8.8,8.4,7.9,7.9,7.7,9.2,9.3,8.8
New Brunswick,13,12.6,12.6,11.5,11.6,12.7,12.2,10.2,10,11.1,10.2,10.2,9.8,9.6,8.7,7.5,8.5,8.8,9.3,9.5
Quebec,12.7,13.3,12.4,11.5,11.8,11.4,10.3,9.3,8.5,8.8,8.7,9.2,8.5,8.3,8.1,7.2,7.2,8.4,8,7.8
Ontario,10.8,10.9,9.6,8.8,9,8.4,7.2,6.4,5.7,6.3,7.2,6.9,6.8,6.6,6.3,6.4,6.5,9,8.7,7.8
Manitoba,9.3,9.3,8.8,7.3,7.2,6.5,5.5,5.6,5,5.1,5.1,5,5.3,4.7,4.3,4.4,4.2,5.2,5.4,5.4
Saskatchewan,8,8.3,6.9,6.7,6.6,5.9,5.8,6,5.1,5.8,5.7,5.6,5.3,5.1,4.7,4.2,4.1,4.8,5.2,5
Alberta,9.5,9.6,8.8,7.8,6.9,5.9,5.6,5.7,5,4.7,5.3,5.1,4.7,4,3.4,3.5,3.6,6.6,6.5,5.4
British Columbia,10.2,9.7,9.2,8.5,8.7,8.5,8.8,8.2,7.2,7.8,8.5,8,7.2,5.8,4.8,4.3,4.6,7.7,7.6,7.5
