location,x,value
Canada,30/09/1992,10.9
Canada,31/12/1992,11.1
Canada,31/03/1993,12.1
Canada,30/06/1993,11.7
Canada,30/09/1993,11.1
Canada,31/12/1993,10.7
Canada,31/03/1994,12
Canada,30/06/1994,10.7
Canada,30/09/1994,9.8
Canada,31/12/1994,9.2
Canada,31/03/1995,10.5
Canada,30/06/1995,9.6
Canada,30/09/1995,9.2
Canada,31/12/1995,8.8
Canada,31/03/1996,10.3
Canada,30/06/1996,9.5
Canada,30/09/1996,9.4
Canada,31/12/1996,9.3
Canada,31/03/1997,10.2
Canada,30/06/1997,9.4
Canada,30/09/1997,8.7
Canada,31/12/1997,8.2
Canada,31/03/1998,9.2
Canada,30/06/1998,8.3
Canada,30/09/1998,8
Canada,31/12/1998,7.6
Canada,31/03/1999,8.5
Canada,30/06/1999,8
Canada,30/09/1999,7.4
Canada,31/12/1999,6.5
Canada,31/03/2000,7.3
Canada,30/06/2000,6.7
Canada,30/09/2000,6.8
Canada,31/12/2000,6.4
Canada,31/03/2001,7.5
Canada,30/06/2001,7.1
Canada,30/09/2001,7.1
Canada,31/12/2001,7.2
Canada,31/03/2002,8.5
Canada,30/06/2002,7.7
Canada,30/09/2002,7.5
Canada,31/12/2002,7
Canada,31/03/2003,8
Canada,30/06/2003,7.7
Canada,30/09/2003,7.7
Canada,31/12/2003,7
Canada,31/03/2004,7.8
Canada,30/06/2004,7.2
Canada,30/09/2004,7.1
Canada,31/12/2004,6.7
Canada,31/03/2005,7.4
Canada,30/06/2005,6.8
Canada,30/09/2005,6.7
Canada,31/12/2005,6.1
Canada,31/03/2006,6.9
Canada,30/06/2006,6.2
Canada,30/09/2006,6.5
Canada,31/12/2006,5.8
Canada,31/03/2007,6.6
Canada,30/06/2007,6
Canada,30/09/2007,6
Canada,31/12/2007,5.5
Canada,31/03/2008,6.3
Canada,30/06/2008,6
Canada,30/09/2008,6.2
Canada,31/12/2008,6
Canada,31/03/2009,8.3
Canada,30/06/2009,8.4
Canada,30/09/2009,8.5
Canada,31/12/2009,7.8
Canada,31/03/2010,8.7
Canada,30/06/2010,8.1
Canada,30/09/2010,8.1
Canada,31/12/2010,7.1
Canada,31/03/2011,8.1
Canada,30/06/2011,7.5
Canada,30/09/2011,7.4
Canada,31/12/2011,6.9
Canada,31/03/2012,7.8
Canada,30/06/2012,7.2
