title,key,x,y
Total-employees-all-occupations,Males,12/31/1998,17.15
Total-employees-all-occupations,Males,12/31/1999,17.5
Total-employees-all-occupations,Males,12/31/2000,18.02
Total-employees-all-occupations,Males,12/31/2001,18.68
Total-employees-all-occupations,Males,12/31/2002,19.16
Total-employees-all-occupations,Males,12/31/2003,19.52
Total-employees-all-occupations,Males,12/31/2004,19.93
Total-employees-all-occupations,Males,12/31/2005,20.4
Total-employees-all-occupations,Males,12/31/2006,21.03
Total-employees-all-occupations,Males,12/31/2007,21.64
Total-employees-all-occupations,Males,12/31/2008,22.64
Total-employees-all-occupations,Males,12/31/2009,23.53
Total-employees-all-occupations,Males,12/31/2010,24.09
Total-employees-all-occupations,Males,12/31/2011,24.5
Total-employees-all-occupations,Males,12/31/2012,24.91
Total-employees-all-occupations,Females,12/31/1998,14.02
Total-employees-all-occupations,Females,12/31/1999,14.21
Total-employees-all-occupations,Females,12/31/2000,14.61
Total-employees-all-occupations,Females,12/31/2001,15.02
Total-employees-all-occupations,Females,12/31/2002,15.56
Total-employees-all-occupations,Females,12/31/2003,15.99
Total-employees-all-occupations,Females,12/31/2004,16.53
Total-employees-all-occupations,Females,12/31/2005,16.94
Total-employees-all-occupations,Females,12/31/2006,17.63
Total-employees-all-occupations,Females,12/31/2007,18.18
Total-employees-all-occupations,Females,12/31/2008,18.92
Total-employees-all-occupations,Females,12/31/2009,19.8
Total-employees-all-occupations,Females,12/31/2010,20.43
Total-employees-all-occupations,Females,12/31/2011,21.01
Total-employees-all-occupations,Females,12/31/2012,21.51
Management-occupations,Males,12/31/1998,23.64
Management-occupations,Males,12/31/1999,24.42
Management-occupations,Males,12/31/2000,26.65
Management-occupations,Males,12/31/2001,27.97
Management-occupations,Males,12/31/2002,29.48
Management-occupations,Males,12/31/2003,30.09
Management-occupations,Males,12/31/2004,31.25
Management-occupations,Males,12/31/2005,32.1
Management-occupations,Males,12/31/2006,32.52
Management-occupations,Males,12/31/2007,33.75
Management-occupations,Males,12/31/2008,35.16
Management-occupations,Males,12/31/2009,36.88
Management-occupations,Males,12/31/2010,37.03
Management-occupations,Males,12/31/2011,37.74
Management-occupations,Males,12/31/2012,38.2
Management-occupations,Females,12/31/1998,18.17
Management-occupations,Females,12/31/1999,18.58
Management-occupations,Females,12/31/2000,20.55
Management-occupations,Females,12/31/2001,21.66
Management-occupations,Females,12/31/2002,23.15
Management-occupations,Females,12/31/2003,23.98
Management-occupations,Females,12/31/2004,25.45
Management-occupations,Females,12/31/2005,26.36
Management-occupations,Females,12/31/2006,26.47
Management-occupations,Females,12/31/2007,28.05
Management-occupations,Females,12/31/2008,28.37
Management-occupations,Females,12/31/2009,29.33
Management-occupations,Females,12/31/2010,30.58
Management-occupations,Females,12/31/2011,31.99
Management-occupations,Females,12/31/2012,33.45
Business-finance-and-administrative-occupations,Males,12/31/1998,17.53
Business-finance-and-administrative-occupations,Males,12/31/1999,17.81
Business-finance-and-administrative-occupations,Males,12/31/2000,17.84
Business-finance-and-administrative-occupations,Males,12/31/2001,18.45
Business-finance-and-administrative-occupations,Males,12/31/2002,19.13
Business-finance-and-administrative-occupations,Males,12/31/2003,19.56
Business-finance-and-administrative-occupations,Males,12/31/2004,19.6
Business-finance-and-administrative-occupations,Males,12/31/2005,19.78
Business-finance-and-administrative-occupations,Males,12/31/2006,20.75
Business-finance-and-administrative-occupations,Males,12/31/2007,21.04
Business-finance-and-administrative-occupations,Males,12/31/2008,22.21
Business-finance-and-administrative-occupations,Males,12/31/2009,22.94
Business-finance-and-administrative-occupations,Males,12/31/2010,23.42
Business-finance-and-administrative-occupations,Males,12/31/2011,23.78
Business-finance-and-administrative-occupations,Males,12/31/2012,24.03
Business-finance-and-administrative-occupations,Females,12/31/1998,14.34
Business-finance-and-administrative-occupations,Females,12/31/1999,14.57
Business-finance-and-administrative-occupations,Females,12/31/2000,15.02
Business-finance-and-administrative-occupations,Females,12/31/2001,15.32
Business-finance-and-administrative-occupations,Females,12/31/2002,15.87
Business-finance-and-administrative-occupations,Females,12/31/2003,16.32
Business-finance-and-administrative-occupations,Females,12/31/2004,16.75
Business-finance-and-administrative-occupations,Females,12/31/2005,17.23
Business-finance-and-administrative-occupations,Females,12/31/2006,17.62
Business-finance-and-administrative-occupations,Females,12/31/2007,18.2
Business-finance-and-administrative-occupations,Females,12/31/2008,18.95
Business-finance-and-administrative-occupations,Females,12/31/2009,19.74
Business-finance-and-administrative-occupations,Females,12/31/2010,20.05
Business-finance-and-administrative-occupations,Females,12/31/2011,20.6
Business-finance-and-administrative-occupations,Females,12/31/2012,21.13
Natural-and-applied-sciences-and-related-occupations,Males,12/31/1998,21.68
Natural-and-applied-sciences-and-related-occupations,Males,12/31/1999,22.53
Natural-and-applied-sciences-and-related-occupations,Males,12/31/2000,23.49
Natural-and-applied-sciences-and-related-occupations,Males,12/31/2001,24.76
Natural-and-applied-sciences-and-related-occupations,Males,12/31/2002,25.64
Natural-and-applied-sciences-and-related-occupations,Males,12/31/2003,26.03
Natural-and-applied-sciences-and-related-occupations,Males,12/31/2004,26.75
Natural-and-applied-sciences-and-related-occupations,Males,12/31/2005,27.18
Natural-and-applied-sciences-and-related-occupations,Males,12/31/2006,28.14
Natural-and-applied-sciences-and-related-occupations,Males,12/31/2007,29
Natural-and-applied-sciences-and-related-occupations,Males,12/31/2008,30.01
Natural-and-applied-sciences-and-related-occupations,Males,12/31/2009,31.13
Natural-and-applied-sciences-and-related-occupations,Males,12/31/2010,31.83
