occupation,key,x,y
Total-employees-all-occupations,Males,1998,17.15
Total-employees-all-occupations,Males,1999,17.5
Total-employees-all-occupations,Males,2000,18.02
Total-employees-all-occupations,Males,2001,18.68
Total-employees-all-occupations,Males,2002,19.16
Total-employees-all-occupations,Males,2003,19.52
Total-employees-all-occupations,Males,2004,19.93
Total-employees-all-occupations,Males,2005,20.4
Total-employees-all-occupations,Males,2006,21.03
Total-employees-all-occupations,Males,2007,21.64
Total-employees-all-occupations,Males,2008,22.64
Total-employees-all-occupations,Males,2009,23.53
Total-employees-all-occupations,Males,2010,24.09
Total-employees-all-occupations,Males,2011,24.5
Total-employees-all-occupations,Males,2012,24.91
Total-employees-all-occupations,Females,1998,14.02
Total-employees-all-occupations,Females,1999,14.21
Total-employees-all-occupations,Females,2000,14.61
Total-employees-all-occupations,Females,2001,15.02
Total-employees-all-occupations,Females,2002,15.56
Total-employees-all-occupations,Females,2003,15.99
Total-employees-all-occupations,Females,2004,16.53
Total-employees-all-occupations,Females,2005,16.94
Total-employees-all-occupations,Females,2006,17.63
Total-employees-all-occupations,Females,2007,18.18
Total-employees-all-occupations,Females,2008,18.92
Total-employees-all-occupations,Females,2009,19.8
Total-employees-all-occupations,Females,2010,20.43
Total-employees-all-occupations,Females,2011,21.01
Total-employees-all-occupations,Females,2012,21.51
