key,x,y,,,,,,
15 to 19,12/31/1982,897.1,,,,,,
15 to 19,12/31/1983,880.5,,,,,,
15 to 19,12/31/1984,871.4,,,,,,
15 to 19,12/31/1985,881.2,,,,,,
15 to 19,12/31/1986,902.9,,,,,,
15 to 19,12/31/1987,946.3,,,,,,
15 to 19,12/31/1988,969.2,,,,,,
15 to 19,12/31/1989,969.9,,,,,,
15 to 19,12/31/1990,921.9,,,,,,
15 to 19,12/31/1991,844.3,,,,,,
15 to 19,12/31/1992,787.6,,,,,,
15 to 19,12/31/1993,776.4,,,,,,
15 to 19,12/31/1994,789.4,,,,,,
15 to 19,12/31/1995,789.2,,,,,,
15 to 19,12/31/1996,743.3,,,,,,
15 to 19,12/31/1997,739.1,,,,,,
15 to 19,12/31/1998,799.3,,,,,,
15 to 19,12/31/1999,850.8,,,,,,
15 to 19,12/31/2000,902.1,,,,,,
15 to 19,12/31/2001,902.1,,,,,,
15 to 19,12/31/2002,941.5,,,,,,
15 to 19,12/31/2003,927.4,,,,,,
15 to 19,12/31/2004,942.7,,,,,,
15 to 19,12/31/2005,954.1,,,,,,
15 to 19,12/31/2006,991.8,,,,,,
15 to 19,12/31/2007,1036.4,,,,,,
15 to 19,12/31/2008,1015.3,,,,,,
15 to 19,12/31/2009,904.2,,,,,,
15 to 19,12/31/2010,887.8,,,,,,
15 to 19,12/31/2011,859.7,,,,,,
20 to 24,12/31/1982,1606.6,,,,,,
20 to 24,12/31/1983,1648.6,,,,,,
20 to 24,12/31/1984,1675.5,,,,,,
20 to 24,12/31/1985,1692,,,,,,
20 to 24,12/31/1986,1670.9,,,,,,
20 to 24,12/31/1987,1641.2,,,,,,
20 to 24,12/31/1988,1578.9,,,,,,
20 to 24,12/31/1989,1520.1,,,,,,
20 to 24,12/31/1990,1400.1,,,,,,
20 to 24,12/31/1991,1348.7,,,,,,
20 to 24,12/31/1992,1308.9,,,,,,
20 to 24,12/31/1993,1293.2,,,,,,
20 to 24,12/31/1994,1318.5,,,,,,
20 to 24,12/31/1995,1293.1,,,,,,
20 to 24,12/31/1996,1297,,,,,,
20 to 24,12/31/1997,1297.5,,,,,,
20 to 24,12/31/1998,1336.3,,,,,,
20 to 24,12/31/1999,1379.6,,,,,,
20 to 24,12/31/2000,1415.5,,,,,,
20 to 24,12/31/2001,1432.6,,,,,,
