"Occupation type",1997/1998,2011/2012
"Total employees, all occupations",15.68,23.28
"Management occupations",21.39,36.36
"Senior management occupations",27.97,43.4
"Other management occupations",20.82,35.92
"Business, finance and administrative occupations",15.28,22.02
"Professional occupations in business and finance",20.57,32.28
"Financial, secretarial and administrative occupations",15.83,22.32
"Clerical occupations, including supervisors",13.7,19.27
"Natural and applied sciences and related occupations",21.08,32.74
"Health occupations",18.34,26.89
"Professional occupations in health, nurse supervisors and registered nurses",21.34,33.77
"Technical, assisting and related occupations in health",15.72,22.22
"Occupations in social science, education, government service and religion",20.91,30.15
"Occupations in social science, government service and religion",17.53,26.87
"Teachers and professors",23.46,33.47
"Occupations in art, culture, recreation and sport",16,23.33
"Sales and service occupations",10.93,15.63
"Wholesale, technical, insurance, real estate sales specialists, and retail, wholesale and grain buyers",16.86,23.55
"Retail salespersons, sales clerks, cashiers, including retail trade supervisors",9.45,13.46
"Chefs and cooks, and occupations in food and beverage service, including supervisors",9.11,13.78
"Occupation in protective services",17.02,24.75
"Childcare and home support workers",12.13,16.09
"Sales and service occupations not elsewhere classified, including occupations in travel and accommodation, attendants in recreation and sport as well as supervisors",10.06,14.11
"Trades, transport and equipment operators and related occupations",16.03,22.97
"Contractors and supervisors in trades and transportation",19.68,29.53
"Construction trades",16.37,23.82
"Other trades occupations",17.29,24.68
"Transport and equipment operators",14.92,21.04
"Trades helpers, construction, and transportation labourers and related occupations",13.1,18.58
"Occupations unique to primary industry",13.2,20.89
"Occupations unique to processing, manufacturing and utilities",14.11,19.58
"Machine operators and assemblers in manufacturing, including supervisors",14.63,20.54
"Labourers in processing, manufacturing and utilities",12.4,15.95
